time, value1, value2
-23.1000E-06,+658.2031250E-03,+164.0625000E-03
-23.0000E-06,+660.1562500E-03,+164.0625000E-03
-22.9000E-06,+660.1562500E-03,+167.9687500E-03
-22.8000E-06,+662.1093750E-03,+166.0156250E-03
-22.7000E-06,+664.0625000E-03,+166.0156250E-03
-22.6000E-06,+664.0625000E-03,+167.9687500E-03
-22.5000E-06,+666.0156250E-03,+166.0156250E-03
-22.4000E-06,+664.0625000E-03,+164.0625000E-03
-22.3000E-06,+666.0156250E-03,+167.9687500E-03
-22.2000E-06,+666.0156250E-03,+166.0156250E-03
-22.1000E-06,+667.9687500E-03,+167.9687500E-03
-22.0000E-06,+667.9687500E-03,+167.9687500E-03
-21.9000E-06,+667.9687500E-03,+169.9218750E-03
-21.8000E-06,+667.9687500E-03,+169.9218750E-03
-21.7000E-06,+669.9218750E-03,+169.9218750E-03
-21.6000E-06,+669.9218750E-03,+169.9218750E-03
-21.5000E-06,+671.8750000E-03,+167.9687500E-03
-21.4000E-06,+671.8750000E-03,+169.9218750E-03
-21.3000E-06,+671.8750000E-03,+167.9687500E-03
-21.2000E-06,+673.8281250E-03,+167.9687500E-03
-21.1000E-06,+673.8281250E-03,+167.9687500E-03
-21.0000E-06,+675.7812500E-03,+167.9687500E-03
-20.9000E-06,+673.8281250E-03,+167.9687500E-03
-20.8000E-06,+675.7812500E-03,+169.9218750E-03
-20.7000E-06,+677.7343750E-03,+167.9687500E-03
-20.6000E-06,+677.7343750E-03,+169.9218750E-03
-20.5000E-06,+675.7812500E-03,+169.9218750E-03
-20.4000E-06,+677.7343750E-03,+171.8750000E-03
-20.3000E-06,+679.6875000E-03,+169.9218750E-03
-20.2000E-06,+679.6875000E-03,+167.9687500E-03
-20.1000E-06,+685.5468750E-03,+275.3906250E-03
-20.0000E-06,+804.6875000E-03,+919.9218750E-03
-19.9000E-06,+869.1406250E-03,+888.6718750E-03
-19.8000E-06,+900.3906250E-03,+828.1250000E-03
-19.7000E-06,+927.7343750E-03,+783.2031250E-03
-19.6000E-06,+949.2187500E-03,+755.8593750E-03
-19.5000E-06,+972.6562500E-03,+728.5156250E-03
-19.4000E-06,+990.2343750E-03,+695.3125000E-03
-19.3000E-06,+1.0097656250E+00,+667.9687500E-03
-19.2000E-06,+1.0214843750E+00,+646.4843750E-03
-19.1000E-06,+1.0332031250E+00,+628.9062500E-03
-19.0000E-06,+1.0429687500E+00,+611.3281250E-03
-18.9000E-06,+1.0546875000E+00,+591.7968750E-03
-18.8000E-06,+1.0644531250E+00,+576.1718750E-03
-18.7000E-06,+1.0703125000E+00,+560.5468750E-03
-18.6000E-06,+1.0781250000E+00,+550.7812500E-03
-18.5000E-06,+1.0859375000E+00,+537.1093750E-03
-18.4000E-06,+1.0917968750E+00,+525.3906250E-03
-18.3000E-06,+1.0976562500E+00,+515.6250000E-03
-18.2000E-06,+1.1015625000E+00,+507.8125000E-03
-18.1000E-06,+1.1074218750E+00,+498.0468750E-03
-18.0000E-06,+1.1113281250E+00,+492.1875000E-03
-17.9000E-06,+1.1171875000E+00,+488.2812500E-03
-17.8000E-06,+1.1191406250E+00,+478.5156250E-03
-17.7000E-06,+1.1210937500E+00,+474.6093750E-03
-17.6000E-06,+1.1250000000E+00,+466.7968750E-03
-17.5000E-06,+1.1269531250E+00,+460.9375000E-03
-17.4000E-06,+1.1289062500E+00,+455.0781250E-03
-17.3000E-06,+1.1308593750E+00,+447.2656250E-03
-17.2000E-06,+1.1328125000E+00,+443.3593750E-03
-17.1000E-06,+1.1347656250E+00,+437.5000000E-03
-17.0000E-06,+1.1328125000E+00,+431.6406250E-03
-16.9000E-06,+1.1347656250E+00,+429.6875000E-03
-16.8000E-06,+1.1347656250E+00,+421.8750000E-03
-16.7000E-06,+1.1367187500E+00,+417.9687500E-03
-16.6000E-06,+1.1367187500E+00,+414.0625000E-03
-16.5000E-06,+1.1367187500E+00,+412.1093750E-03
-16.4000E-06,+1.1367187500E+00,+406.2500000E-03
-16.3000E-06,+1.1367187500E+00,+402.3437500E-03
-16.2000E-06,+1.1386718750E+00,+396.4843750E-03
-16.1000E-06,+1.1367187500E+00,+392.5781250E-03
-16.0000E-06,+1.1347656250E+00,+390.6250000E-03
-15.9000E-06,+1.1367187500E+00,+388.6718750E-03
-15.8000E-06,+1.1328125000E+00,+382.8125000E-03
-15.7000E-06,+1.1347656250E+00,+378.9062500E-03
-15.6000E-06,+1.1308593750E+00,+373.0468750E-03
-15.5000E-06,+1.1289062500E+00,+371.0937500E-03
-15.4000E-06,+1.1289062500E+00,+373.0468750E-03
-15.3000E-06,+1.1308593750E+00,+367.1875000E-03
-15.2000E-06,+1.1269531250E+00,+363.2812500E-03
-15.1000E-06,+1.1230468750E+00,+357.4218750E-03
-15.0000E-06,+1.1230468750E+00,+361.3281250E-03
-14.9000E-06,+1.1210937500E+00,+363.2812500E-03
-14.8000E-06,+1.1191406250E+00,+359.3750000E-03
-14.7000E-06,+1.1210937500E+00,+351.5625000E-03
-14.6000E-06,+1.1132812500E+00,+345.7031250E-03
-14.5000E-06,+1.1132812500E+00,+355.4687500E-03
-14.4000E-06,+1.1152343750E+00,+353.5156250E-03
-14.3000E-06,+1.1132812500E+00,+347.6562500E-03
-14.2000E-06,+1.1074218750E+00,+339.8437500E-03
-14.1000E-06,+1.1054687500E+00,+341.7968750E-03
-14.0000E-06,+1.1074218750E+00,+351.5625000E-03
-13.9000E-06,+1.1054687500E+00,+345.7031250E-03
-13.8000E-06,+1.1054687500E+00,+335.9375000E-03
-13.7000E-06,+1.1015625000E+00,+335.9375000E-03
-13.6000E-06,+1.1015625000E+00,+341.7968750E-03
-13.5000E-06,+1.1015625000E+00,+345.7031250E-03
-13.4000E-06,+1.0996093750E+00,+339.8437500E-03
-13.3000E-06,+1.0976562500E+00,+333.9843750E-03
-13.2000E-06,+1.0976562500E+00,+337.8906250E-03
-13.1000E-06,+1.0976562500E+00,+343.7500000E-03
-13.0000E-06,+1.0957031250E+00,+339.8437500E-03
-12.9000E-06,+1.0937500000E+00,+335.9375000E-03
-12.8000E-06,+1.0917968750E+00,+333.9843750E-03
-12.7000E-06,+1.0917968750E+00,+335.9375000E-03
-12.6000E-06,+1.0937500000E+00,+339.8437500E-03
-12.5000E-06,+1.0898437500E+00,+333.9843750E-03
-12.4000E-06,+1.0878906250E+00,+332.0312500E-03
-12.3000E-06,+1.0878906250E+00,+332.0312500E-03
-12.2000E-06,+1.0859375000E+00,+335.9375000E-03
-12.1000E-06,+1.0878906250E+00,+335.9375000E-03
-12.0000E-06,+1.0878906250E+00,+333.9843750E-03
-11.9000E-06,+1.0859375000E+00,+332.0312500E-03
-11.8000E-06,+1.0859375000E+00,+333.9843750E-03
-11.7000E-06,+1.0859375000E+00,+337.8906250E-03
-11.6000E-06,+1.0839843750E+00,+335.9375000E-03
-11.5000E-06,+1.0839843750E+00,+332.0312500E-03
-11.4000E-06,+1.0820312500E+00,+330.0781250E-03
-11.3000E-06,+1.0820312500E+00,+333.9843750E-03
-11.2000E-06,+1.0839843750E+00,+335.9375000E-03
-11.1000E-06,+1.0800781250E+00,+333.9843750E-03
-11.0000E-06,+1.0781250000E+00,+335.9375000E-03
-10.9000E-06,+1.0800781250E+00,+332.0312500E-03
-10.8000E-06,+1.0781250000E+00,+330.0781250E-03
-10.7000E-06,+1.0761718750E+00,+332.0312500E-03
-10.6000E-06,+1.0742187500E+00,+330.0781250E-03
-10.5000E-06,+1.0761718750E+00,+330.0781250E-03
-10.4000E-06,+1.0761718750E+00,+330.0781250E-03
-10.3000E-06,+1.0742187500E+00,+328.1250000E-03
-10.2000E-06,+1.0742187500E+00,+326.1718750E-03
-10.1000E-06,+1.0761718750E+00,+330.0781250E-03
-10.0000E-06,+1.0429687500E+00,+23.4375000E-03
-9.9000E-06,+910.1562500E-03,-562.5000000E-03
-9.8000E-06,+830.0781250E-03,-589.8437500E-03
-9.7000E-06,+781.2500000E-03,-542.9687500E-03
-9.6000E-06,+736.3281250E-03,-501.9531250E-03
-9.5000E-06,+705.0781250E-03,-464.8437500E-03
-9.4000E-06,+675.7812500E-03,-431.6406250E-03
-9.3000E-06,+650.3906250E-03,-392.5781250E-03
-9.2000E-06,+628.9062500E-03,-357.4218750E-03
-9.1000E-06,+611.3281250E-03,-328.1250000E-03
-9.0000E-06,+595.7031250E-03,-304.6875000E-03
-8.9000E-06,+580.0781250E-03,-279.2968750E-03
-8.8000E-06,+566.4062500E-03,-250.0000000E-03
-8.7000E-06,+558.5937500E-03,-228.5156250E-03
-8.6000E-06,+544.9218750E-03,-205.0781250E-03
-8.5000E-06,+537.1093750E-03,-183.5937500E-03
-8.4000E-06,+529.2968750E-03,-162.1093750E-03
-8.3000E-06,+525.3906250E-03,-136.7187500E-03
-8.2000E-06,+517.5781250E-03,-109.3750000E-03
-8.1000E-06,+513.6718750E-03,-83.9843750E-03
-8.0000E-06,+513.6718750E-03,-54.6875000E-03
-7.9000E-06,+521.4843750E-03,+41.0156250E-03
-7.8000E-06,+546.8750000E-03,+144.5312500E-03
-7.7000E-06,+556.6406250E-03,+144.5312500E-03
-7.6000E-06,+564.4531250E-03,+148.4375000E-03
-7.5000E-06,+570.3125000E-03,+146.4843750E-03
-7.4000E-06,+576.1718750E-03,+144.5312500E-03
-7.3000E-06,+578.1250000E-03,+144.5312500E-03
-7.2000E-06,+582.0312500E-03,+150.3906250E-03
-7.1000E-06,+585.9375000E-03,+148.4375000E-03
-7.0000E-06,+587.8906250E-03,+148.4375000E-03
-6.9000E-06,+593.7500000E-03,+144.5312500E-03
-6.8000E-06,+597.6562500E-03,+152.3437500E-03
-6.7000E-06,+599.6093750E-03,+152.3437500E-03
-6.6000E-06,+601.5625000E-03,+146.4843750E-03
-6.5000E-06,+601.5625000E-03,+148.4375000E-03
-6.4000E-06,+605.4687500E-03,+150.3906250E-03
-6.3000E-06,+607.4218750E-03,+148.4375000E-03
-6.2000E-06,+609.3750000E-03,+152.3437500E-03
-6.1000E-06,+613.2812500E-03,+154.2968750E-03
-6.0000E-06,+615.2343750E-03,+156.2500000E-03
-5.9000E-06,+621.0937500E-03,+158.2031250E-03
-5.8000E-06,+621.0937500E-03,+154.2968750E-03
-5.7000E-06,+621.0937500E-03,+158.2031250E-03
-5.6000E-06,+623.0468750E-03,+160.1562500E-03
-5.5000E-06,+625.0000000E-03,+154.2968750E-03
-5.4000E-06,+626.9531250E-03,+154.2968750E-03
-5.3000E-06,+628.9062500E-03,+158.2031250E-03
-5.2000E-06,+628.9062500E-03,+158.2031250E-03
-5.1000E-06,+630.8593750E-03,+156.2500000E-03
-5.0000E-06,+632.8125000E-03,+154.2968750E-03
-4.9000E-06,+632.8125000E-03,+158.2031250E-03
-4.8000E-06,+636.7187500E-03,+162.1093750E-03
-4.7000E-06,+638.6718750E-03,+162.1093750E-03
-4.6000E-06,+638.6718750E-03,+160.1562500E-03
-4.5000E-06,+640.6250000E-03,+158.2031250E-03
-4.4000E-06,+646.4843750E-03,+166.0156250E-03
-4.3000E-06,+644.5312500E-03,+166.0156250E-03
-4.2000E-06,+646.4843750E-03,+162.1093750E-03
-4.1000E-06,+648.4375000E-03,+160.1562500E-03
-4.0000E-06,+648.4375000E-03,+162.1093750E-03
-3.9000E-06,+654.2968750E-03,+164.0625000E-03
-3.8000E-06,+652.3437500E-03,+162.1093750E-03
-3.7000E-06,+652.3437500E-03,+162.1093750E-03
-3.6000E-06,+652.3437500E-03,+162.1093750E-03
-3.5000E-06,+656.2500000E-03,+166.0156250E-03
-3.4000E-06,+656.2500000E-03,+164.0625000E-03
-3.3000E-06,+660.1562500E-03,+162.1093750E-03
-3.2000E-06,+658.2031250E-03,+162.1093750E-03
-3.1000E-06,+660.1562500E-03,+166.0156250E-03
-3.0000E-06,+662.1093750E-03,+166.0156250E-03
-2.9000E-06,+662.1093750E-03,+164.0625000E-03
-2.8000E-06,+662.1093750E-03,+166.0156250E-03
-2.7000E-06,+664.0625000E-03,+167.9687500E-03
-2.6000E-06,+666.0156250E-03,+167.9687500E-03
